Asset type;Resource provider namespace/Entity;Abbreviation;Transformer;Validator1;Validator2;Validator3;Validator4
Snapshot;Microsoft.Compute/snapshots;snap;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
SQL Managed Instance;Microsoft.Sql/managedInstances;sqlmi;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
SQL Server Stretch Database;Microsoft.Sql/servers/databases;sqlstrdb;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;128characterLimit;
Static web app;Microsoft.Web/staticSites;stapp;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Storage account;Microsoft.Storage/storageAccounts;st;alphanumerics;;;60characterLimit;atLeast3Characters
Time Series Insights environment;Microsoft.TimeSeriesInsights/environments;tsi;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Traffic Manager profile;Microsoft.Network/trafficManagerProfiles;traf;alphanumericsHyphensPeriods;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
User defined route (UDR);Microsoft.Network/routeTables/routes;udr;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Virtual desktop application group;;vdag;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Virtual desktop host pool;;vdpool;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Virtual desktop workspace;;vdws;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Virtual machine;Microsoft.Compute/virtualMachines;vm;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;15characterLimit;
Virtual machine scale set;Microsoft.Compute/virtualMachineScaleSets;vmss;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;15characterLimit;
Virtual network;Microsoft.Network/virtualNetworks;vnet;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;atLeast2Characters
